Particulars,Recency,Frequency,Monetary,Recency_N,Frequency_N,Monetary_N,RFM_Score,Segment
Phoenix Medical Systems Pvt Ltd,608,2,21548.0,0.14002828854313998,0.0015220700152207,0.0008697725103304724,0.049738327498036354,At Risk
RANE ENGINE VALVE LTD,355,25,568942.0,0.49787835926449786,0.0365296803652968,0.02428531638087779,0.19310397238624957,At Risk
RED STAR POLYMERS PRIVATE LIMITED,13,25,1899462.0,0.9816124469589816,0.0365296803652968,0.08120017008888449,0.38517684456252155,Growing
RED STAR POLYMERS PRIVATE LIMITED( Valasaravakkam),15,2,14580.0,0.9787835926449788,0.0015220700152207,0.0005717065657092787,0.34318345755583146,Growing
REDSTAR PLASTIC LIMITED (Valasaravakkam ),707,1,1215.0,0.0,0.0,0.0,0.0,
REGENIX DRUGS MUR & MUR DIVISION,497,3,202146.0,0.29702970297029707,0.0030441400304414,0.008595104523346882,0.10815947285655307,At Risk
Red Star Plastick Pvt Ltd,574,8,452366.0,0.18811881188118806,0.0106544901065449,0.019298614951463285,0.07622465266563735,At Risk
Red Star Polymers Private Limited ( Mangadu),509,2,64946.0,0.28005657708628007,0.0015220700152207,0.0027261826516436992,0.09949079254466067,At Risk
Redstar Plastick Private Ltd ( Warehouse ),649,1,13660.0,0.08203677510608198,0.0,0.0005323522791060212,0.028925812198771102,At Risk
Regenix Drugs Ltd,351,10,400166.0,0.5035360678925036,0.0136986301369863,0.01706568695071324,0.18648855607690812,At Risk
Regenix Drugs Ltd ( Bharti Life ),42,15,405271.0,0.9405940594059405,0.0213089802130898,0.017284060464962836,0.3414487900313367,Growing
Regenix Drugs Ltd (Queen ),42,14,328264.06,0.9405940594059405,0.0197869101978691,0.013989980913658648,0.3397506407070099,Growing
Regenix Super Speciality Laboratories Pvt Ltd,411,2,57705.0,0.4186704384724187,0.0015220700152207,0.0024164387502369736,0.14788174646924648,At Risk
SUNDRAM FASTENERS LIMITED,0,658,23378592.14,1.0,1.0,1.0,1.0,Champion
SURYA ENTERPRISES,369,4,65417.0,0.47807637906647804,0.0045662100456621,0.0027463303353286277,0.16956681731881426,At Risk
Sree Ramu Speciality Surfactants Private Limited,650,1,30808.0,0.08062234794908063,0.0,0.0012658819602719554,0.028724174566287,At Risk
Sree Sastha Packers,0,39,227879.58,1.0,0.0578386605783866,0.009695894395790203,0.3683380229029127,Growing
Standex Electronics India Pvt Ltd,46,15,501677.1,0.9349363507779349,0.0213089802130898,0.02140796621463925,0.3411181543114053,Growing
Sundram Fasteners Limited ( Madurai ),0,11,858991.63,1.0,0.015220700152207,0.03669259493325691,0.36848221301135453,Growing
Talon Tack Private Limited,455,11,451410.0,0.3564356435643564,0.015220700152207,0.019257720714514683,0.13626073857138235,At Risk
WITZENMANN INDIA PRIVATE LIMITED,32,1,102802.0,0.9547383309759547,0.0,0.004345525992570782,0.33589662623861244,Growing
